stage	processing_batch	sample_type	read	module	metric	unit	n_libraries	median	p10	p90	minimum	maximum
raw	pilot	biopsy	R2	Sequence Length Distribution	median_read_length	nt	8	301.000000	301.000000	301.000000	301.000000	301.000000
raw	pilot	biopsy	R2	Sequence Length Distribution	minimum_read_length	nt	8	30.000000	30.000000	30.000000	30.000000	30.000000
raw	pilot	positive_control	R1	Adapter Content	maximum_adapter_content	percent	38	0.981907	0.648667	5.855510	0.557457	9.418643
raw	pilot	positive_control	R1	Basic Statistics	percent_gc	percent	38	54.000000	52.000000	57.300000	51.000000	63.000000
raw	pilot	positive_control	R1	Basic Statistics	poor_quality_sequences	reads	38	0.000000	0.000000	0.000000	0.000000	0.000000
raw	pilot	positive_control	R1	Basic Statistics	total_bases	bases	38	116300000.000000	73720000.000000	163250000.000000	61700000.000000	351000000.000000
raw	pilot	positive_control	R1	Basic Statistics	total_sequences	reads	38	441160.500000	275402.300000	618210.000000	211769.000000	1324645.000000
raw	pilot	positive_control	R1	Overrepresented sequences	overrepresented_reads	percent	38	65.327730	61.275902	81.748528	58.095886	82.548171
raw	pilot	positive_control	R1	Overrepresented sequences	top_overrepresented_sequence	percent	38	10.175494	2.942506	29.646094	2.486178	48.160602
raw	pilot	positive_control	R1	Per base N content	maximum_n_content	percent	38	3.469644	2.800779	29.946686	2.775146	48.566884
raw	pilot	positive_control	R1	Per base sequence content	maximum_base_composition_range	percent	38	98.939484	96.293631	99.357475	95.114829	99.501891
raw	pilot	positive_control	R1	Per base sequence quality	median_mean_base_quality	Phred	38	38.710241	38.129903	38.881409	36.606974	38.937006
raw	pilot	positive_control	R1	Per base sequence quality	minimum_lower_quartile_base_quality	Phred	38	12.000000	2.000000	12.000000	2.000000	12.000000
raw	pilot	positive_control	R1	Per base sequence quality	minimum_mean_base_quality	Phred	38	19.872552	16.670040	20.342794	12.959862	20.696427
raw	pilot	positive_control	R1	Per sequence GC content	gc_content_p10	percent	38	1.000000	0.000000	50.000000	0.000000	50.000000
raw	pilot	positive_control	R1	Per sequence GC content	gc_content_p90	percent	38	56.000000	55.000000	61.000000	55.000000	62.000000
raw	pilot	positive_control	R1	Per sequence GC content	mean_gc_content	percent	38	47.112893	34.682785	49.963634	28.247895	50.906082
raw	pilot	positive_control	R1	Per sequence quality scores	mean_sequence_quality	Phred	38	36.929742	26.815616	37.500521	20.062833	37.762552
raw	pilot	positive_control	R1	Per sequence quality scores	pct_reads_mean_quality_le_20	percent	38	3.381588	1.617115	29.855531	1.110458	48.315209
